freq,unit,expend,geo\TIME_PERIOD	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,INF,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	242.957 	207.956 	187.571 	102.129 	172.669 	182.652 	188.889 	202.354 	298.459 	228.981 
A,MIO_EUR,INF,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	502297 	486 	863 	677 	723 	742 	718 	670 	2056 	: 	: 	: 	: 	: 	1339 	: 	: 
A,MIO_EUR,INF,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	199 	132 	103 	85 	83 d	278.812 	355.967 	492.842 	488.393 	412.875 	462.471 	449.432 	349.473 	454.494 	: 
A,MIO_EUR,INF,CH	: 	: 	: 	: 	: 	: 	5731 	6257 	6223 	6247 p	: 	: 	: 	: 	: 	: 	: 	: 	8305 	8321 	8441 	6819.105 	6784.950 	7806.911 	7482.113 	7401.277 	7129.870 	7705.861 	8314.806 	: 	: 
A,MIO_EUR,INF,CY	: 	444 	451 	471 	388 	459 	674 	65 	622 	642 	1172 	1684 	1674 	1916 	2426 	2577 	349 d	2918 d	2494 d	2692 d	2113 d	146.900 	180 	175.200 	180.700 	202.900 	182.300 	185.300 	210.100 	: 	: 
A,MIO_EUR,INF,CZ	: 	9223 	12534 	15803 	17813 	21067 	21597 	20089 	18197 	195519 	246026 	283354 	423633 	525727 	57691 	57830 	66219 	67824 	60436 	45809 	36387 	1160.970 	1191.095 	1570.109 	1616.516 	1705.519 	1915.959 	2365.485 	2524.778 	2955.733 	2903.932 
A,MIO_EUR,INF,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7655 	6600 	6463 	7560 	8950 	10350 	10473 	10862 	11127 	11860 
A,MIO_EUR,INF,DK	5083 d	5697 	6136 	6643 	7386 	6768 	7082 d	7444 d	8239 d	8884 d	7944 d	: 	: 	: 	14112 	13028 	12286 	: 	: 	: 	: 	1967.042 	1897.435 	1894.164 	2019.288 	2183.207 	2235.416 	2048.191 	2254.300 	2112.949 	: 
A,MIO_EUR,INF,EE	: 	: 	: 	7271 	10462 	1076 	14616 	13119 	15306 	19344 	35605 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF,ES	: 	: 	771524 d	693266 d	667234 d	661634 d	796421 d	720121 d	802710 d	924781 d	7032532 d	7360304 d	7244489 d	855925 d	839612 d	777013 d	85225 d	942162 d	78506 d	596614 d	536174 d	4651.107 	4358 	4393 	3880 	3690 	3512 	3444.962 	3712 	3780 	: 
A,MIO_EUR,INF,FI	5700 	5305 	5292 	4622 d	4015 d	4185 d	4246 d	677 d	691 d	675 d	770 d	775 d	789 	783 	747 	810 	894 	927 	886 	839 	826 	867 	812 	864 	984 	847 	955 	899 	1119 	: 	: 
A,MIO_EUR,INF,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15770 	13567 	12609 	11647 	11449 	12255 	12740 	12002 	12754 	13184 
