freq,tra_infr,unit,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MWAY,KM,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	21.600 	24.700 	24.700 
A,MWAY,KM,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1406 	1445 	1450 	1554 	1557 	1559 	1596 	1607 	1613 	1613 	1634 	1633 	1645 	1645 	1670 	1677 	1677 	1678 	1696 	1696 	1696 	1719 	1719 	1719 	1719 	1719 	1719 	1719 	1719 	1743 	1743 	1749 	1749 	1749 
A,MWAY,KM,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50 	: 	: 	: 	172 	198 	198 	218 	218 	231 
A,MWAY,KM,BE	501 d	: 	: 	: 	: 	1051 d	: 	: 	: 	1203 	1251 d	1315 	1388 	1456 	1476 	1534 d	1549 	1567 	1613 	1631 	1666 	1650 	1658 	1665 	1666 	1666 	1674 	1679 	1682 	1691 	1702 	1727 	1729 	1729 	1747 	1747 	1763 	1763 	1763 	1763 	1763 	: 	: 	: 	: 	: 	: 	: 	1763 	1763 	1763 	1763 	: 
A,MWAY,KM,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	273 	: 	: 	: 	: 	: 	314 	314 	319 	324 	324 	328 	328 	328 	331 	331 	394 	418 	418 	418 	437 	458 	541 	605 	610 	734 	734 	734 	757 	790 	806 	806 	825 
A,MWAY,KM,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1486 	1495 	1148 d	1152 d	1164 d	1184 d	1184 d	1540 d	1594 d	1258 d	1262 d	1267 d	1270 d	1305 d	1342 d	1351 d	1341 	1358 	1361 	1383 	1383 	1406 	1406 	1415 	1419 	1419 	1429 	1440 	1447 	1458 	1462 	: 	1544 b	1544 	1544 
A,MWAY,KM,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	154 	154 	154 	154 	159 	167.5 	167.5 	193.5 	204 	216 	240 	257 	268 	268 	268 	276 	257 	257 	257 	257 	257 	257 	257 	257 	257 	257 	257 	257 	257 	257 	257 	257 	271 
A,MWAY,KM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	357 	362 	366 	390 	392 	414 	423 	486 	499.4 	499.4 	499.4 	517.6 	517.7 	518 	546 	564 	633 	657 	691 	729 	734 	745 	751 	776 	776 	776 	1222.661 	1240 	1252 	1276 	1298 	1346 	1363 
A,MWAY,KM,DE	4461 d	: 	: 	: 	: 	6207 d	: 	: 	: 	7292 	7538 d	7784 	7919 	8080 	8198 	8350 d	8437 	8618 	8721 	8822 	10854 	10955 	11013 	11080 	11143 	11190 	11246 	11309 	11427 	11515 	11712 	11786 	12037 	12044 	12174 	12363 	12531 	12594 	12645 	12813 	12819 	12845 	12879 	12917 	12949 	12993 	12996 	13009 	13141 	13183 	13192 	13155 	13172 
A,MWAY,KM,DK	198 d	: 	: 	: 	: 	345 d	: 	: 	: 	464 	504 d	515 	516 	518 	539 	593 d	593 	599 	599 	601 	601 	653 	696 	747 	796 	796 	832 	855 	873 	892 	953 	971 	1010 	: 	: 	: 	1071 	1111 	1128 	: 	: 	1143 	1195 	1216 	1232 	1237 	1255 	1308 	1329 	1346 	1354 	1355 	1355 
A,MWAY,KM,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41 	50 	60 	62 	64 	65 	65 	68 	73.6 	86.6 	93 	93 	98 	98 	96 	99 	99 	96 	104 	100 	115 	115 d	124 d	140 	141 	147 	145 	154 	154 	161 	199 	199 	225 
A,MWAY,KM,EL	65 d	: 	: 	: 	: 	76 d	: 	: 	: 	86 	91 d	91 	91 	91 	91 	91 d	91 	91 	91 	120 	190 	225 	280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2205 e
A,MWAY,KM,ES	1585 	: 	: 	: 	: 	1746 	: 	: 	: 	1769 	1923 d	1959 	1963 	2050 	2064 	2117 d	2154 	2276 	2859 	3785 	4693 	5235 	6486 	6577 	6497 d	6962 d	7295 d	7750 d	8269 d	8893 d	9049 d	9571 d	9739 d	10296 	10747 d	11432 d	12073 d	13013 d	13518 d	14021 d	14262 d	14531 d	14701 d	14981 	15049 	15336 	15444 	15523 	15585 	15722.258 	15752 	15825 	: 
