freq,unit,tra_infr,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,KM,RD_COM,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71000 	71000 	71000 	71000 	71000 	71000 	71053 	71059 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	88750 	88753 	88759 	97745 	102463 	100633 	94146 	91238 	90250 	91916 
A,KM,RD_COM,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	109837 	110258 	110186 	112079 	115006 	117860 	119000 	120000 	121000 	122000 	123200 	124100 	125000 	125900 	125900 d	126800 d	127600 	128200 	129400 	130300 	130900 	131520 	132540 	133330 	134130 	134940 	135745 	136559 	137379 	137870 	138000 	138869 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_COM,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29918 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_COM,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51197 	51197 	51197 d	51197 d	51197 d	51197 d	51197 d	51197 	51197 d	51197 d	51397 d	51397 	51397 	51397 	51438 	51446 	51446 d	51446 d	51446 	51446 d	51506 d	51615 	51622 	51668 d	51721 d	51819 	51814 	51828 	51849 	51863 	51880 	51927 	: 	: 	65194 
A,KM,RD_COM,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2428 	2839 	3015 	3103 	3155 	3221 	3271 	3352 	3404 	3481 	3577 	3666 	3732 	4181 	4210 	4254 	4296 	4766 d	4773 d	4795 	4815 	4830 	4854 	4891 	4935 	4950 	4990 	5047 	5083 
A,KM,RD_COM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68737 	69270 	66449 	70520 	72300 	72300 	72300 	72300 	72300 	72300 	72927 	72927 	72927 	74919 	74919 	74919 	74919 	74919 	74919 	74919 	74919 	74919 	74919 	74919 	74919 	74919 	74919 	74919 	74919 	74919 
A,KM,RD_COM,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	311000 	313000 	315000 	317000 	319000 	320000 	318000 	319000 	321000 	323000 	325000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_COM,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	56691 	57359 	57857 	58065 	58238 	58554 	58509 	58529 	58816 	58816 	: 	59168 	59259 	59447 	59532 	59642 	59711 	59710 	59861 	59882 	59995 	60018 	60240 	60328 	: 	: 	: 	61024 	69331 	69492 	: 	: 	70089 	70269 	70561 	70627 	70646 	70705 	70817 	70840 	70900 	70967 	70935 	70985 
A,KM,RD_COM,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18398 u	18328 u	18398 u	18398 u	18445 	18398 	18398 	18220 	18237 	18398 	18398 	48723 b	48799 
A,KM,RD_COM,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	67283 	68326 	68982 	69509 	70419 	60962 	54514 	54514 	59586 	59558 	63927 	64479 	64660 	64802 	65972 	66966 d	66984 d	66634 	66781 	68499 	68160 	68126 d	67987 d	69479 d	68862 	68854 	68791 d	68839 d	68366 d	67948 d	68000 d	67827 d	67439 d	67400 d	67368 	68040 	67605 	67038 	67191 	67120 	66923.563 	67109 	66949 	: 
A,KM,RD_COM,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23593 d	24051 d	24262 d	24448 d	24805 d	24828 d	25198 d	25697 d	26213 	26702 	27442 	27365 	28318 	27685 	28973 	28899 	: 	29557 	28011 	29516 	30454 	31018 	31638 	: 	30742 	: 
A,KM,RD_COM,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	405000 	421000 	421000 	421000 	421000 	421000 	421000 	421000 	421000 	421000 	421000 	421000 	500000 	526000 	526000 	562960 	563000 	574780 	579410 	585900 	589910 	594149 	601733 	598380 	601851 	606031 	610330 	615607 	628987 	629000 	642256 	651202 	651491 	666343 	679860.470 	679860.470 	686164.421 	699224.373 	704999.267 	704151.436 	704200.843 	705825.843 	704942.380 	701367.762 
A,KM,RD_COM,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18097 	14616 	14600 	14600 	14600 	14600 	14600 	10269 	10269 	10183 	10197 	10298 	10375 	10375 	10375 	10375 	10375 	10375 	10335 	10347 	10342 	10346 	9046 	9094 	9137 	8998 	9003 	9022 	8817 	8831 	8846 	8494 	8506 
A,KM,RD_COM,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75936 	75930 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,KM,RD_COM,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76444 	76474 	76314 	76314 	76314 	76500 	76600 	78610 	78610 	78675 	78675 	78675 	78610 	78773 	79446 	79446 	79446 	78958 	78958 	78958 	78958 e	78958 	78958 	78958 p	78958 	80472 	80472 	80472 	80472 	80548 p	80548 	83386 	83412 
A,KM,RD_COM,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1080 	1090 	1100 	1110 	1120 	1130 	1140 	1784 	1786 	4511 d	4476 	4479 	4791 d	4746 d	4734 d	4796 d	4799 e	4802 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_COM,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	141666 	141666 	141666 	141666 	141666 	141666 	141666 	141666 	141666 	141666 	141666 	141666 	141666 	650201 	651591 	668765 	660566 	663503 	668669 	: 	: 	: 	: 	: 	: 	: 	57755 	61651 	64847 	65494 	68495 d	68267 d	72018 d	73555 d	74420 	73290 	74719 	73591 	74734 	69098 	67927 	67532 	68290 	: 
A,KM,RD_COM,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	260 	262 	262 	262 	262 	262 	262 	262 	262 	262 	262 	262 	262 	262 	262 	262 	262 	262 	262 	317 	317 	317 	317 	317 	317 
A,KM,RD_COM,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4557 	4618 	4630 	4689 	4677 	4726 	4853 	4882 	5308 	5551 	5753 	5783 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,KM,RD_COM,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	2208 	2223 	2223 	2223 	2272 	2272 	2272 	2316 	2316 	2316 	2316 	2316 	2316 	2316 	2316 	2316 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_COM,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38941 	38941 	39640 	4515 	4546 	4990 	5074 	5039 	5124 	5162 	5201 	7210 d	7320 d	7338 d	7345 d	7575 d	7581 d	7796 d	7949 d	7872 	8034 	8035 	7998 	7987 	8039 	7967 	8174 	8291 	8306 	8271 	8369 	8457 	8440 
A,KM,RD_COM,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: 	: 	: 
A,KM,RD_COM,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6824 	5997 	5632 	5326 	5439 	5606 	5656 	6152 	7143 	7795 	8071 	8347 	8394 	: 	: 	8566 	8995 	9155 	9240 	9258 	9252 	9300 	9355 	9471 	9513 	9570 	9749 	9733 	9878 	9788 	9786 	9719 	10479 
A,KM,RD_COM,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	647 	647 	: 	: 	647 	647 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 	: 	: 	: 
A,KM,RD_COM,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	79363 	: 	: 	81946 	: 	83865 	: 	: 	: 	90766 	91830 	93460 	: 	94778 	: 	: 	103304 	: 	105680 	: 	: 	: 	117669 	118667 	119437 	120447 	118328 	118979 	119489 	120100 	120729 d	121128 d	121412 d	121542 	125230 	125650 	125895 	126025 	126180 	126458 	127173 	128041 	127804 	128315 
A,KM,RD_COM,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34703 	35177 	35727 	35866 	36373 	37046 	36636 	37033 	37684 	37572 	37022 	36962 	37482 	: 	: 	: 	38234 	38542 	38528 	38467 	38516 	38589 	38732 	38893 	38970 	39041 	39158 	39287 	39406 	39457 	39543 	39715 	39480 	39879 	39879 
A,KM,RD_COM,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	188725 	191061 	192711 	194203 	196311 	198178 	200631 	202852 	206825 	197351 	198350 	203505 	197389 	201992 	203773 	206371 	: c	: c	209333 	210569 	232880 	237244 	238651 	240447 	243810 	246143 	246983 	249136 	251664 	251789 	257204 	256536 	254313 
A,KM,RD_COM,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	56467 	58321 	62528 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_COM,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31166 	31166 	31166 	31166 	31159 	31141 	31054 	30985 	30864 	30622 	27759 	27817 	28190 	28332 	28491 	28460 	28601 	29340 	29843 	30162 	30613 	31639 	31918 	32190 	32585 	32980 	33107 	33296 	33409 	33435 	33793 	33573 	33622 
