freq,mot_nrg,regisveh,vehicle,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DIE,TERNAT_REG,CAR,MIO_VKM,AT	38765 	40133 	46216 	48404 	49239 	: 	: 	: 	: 	: 
A,DIE,TERNAT_REG,CAR,MIO_VKM,EE	3741 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DIE,TERNAT_REG,CAR,MIO_VKM,FI	: 	: 	: 	: 	16664 	16809 	16794 	15547 	15490 	: 
A,DIE,TERNAT_REG,CAR,MIO_VKM,IE	14972 	16519 	19688 	22021 	23600 	23982 	24470 	18317 	21183 	24208 
A,DIE,TERNAT_REG,CAR,MIO_VKM,NL	32183 	31814 	32094 	32469 	31940 	30854 	28420 	20848 	18648 	17451 
A,DIE,TERNAT_REG,CAR,MIO_VKM,NO	18889 e	19478 e	20097 e	20425 e	20444 e	20137 e	19175 e	: 	16744 	15325 
A,DIE,TERNAT_REG,CAR,MIO_VKM,UA	: 	: 	: 	: 	800 	924 	1138 	1178 	: 	: 
A,DIE,TERNAT_REG,LOR_GT3P5-6,MIO_VKM,EE	1113 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DIE,TERNAT_REG,LOR_GT3P5-6,MIO_VKM,NO	162 e	141 e	124 e	96 e	78 e	65 e	59 e	: 	51 	49 
A,DIE,TERNAT_REG,LOR_GT6,MIO_VKM,AT	4623 	4746 	4873 	4971 	5271 	: 	: 	: 	: 	: 
A,DIE,TERNAT_REG,LOR_GT6,MIO_VKM,NO	2046 e	1449 e	1426 e	1409 e	1423 e	1433 e	1451 e	: 	1394 	1413 
A,DIE,TERNAT_REG,LOR_LE3P5,MIO_VKM,AT	6501 	6704 	6779 	6974 	7113 	: 	: 	: 	: 	: 
A,DIE,TERNAT_REG,LOR_LE3P5,MIO_VKM,FI	: 	: 	: 	: 	: 	5601 	5626 	5587 	5689 	: 
